idMunicipio,nomeMunicipio,estado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,IDHMEducacao
110002,Ariquemes,RO,83.7,68.3,11.8,13.0,2.6,12.6,1.9,6.1,3.3,4.0,22.5,25.5,27.3,5.5,4.5,4.3,25.4,29.9,Médio
110003,Cabixi,RO,83.2,82.4,11.7,5.4,2.1,8.4,3.0,3.8,1.5,3.3,19.2,18.6,20.1,6.5,4.1,4.0,20.5,17.6,Baixo
110004,Cacoal,RO,85.2,76.6,10.5,10.8,3.1,8.2,1.2,4.4,3.1,3.7,18.9,22.7,29.1,5.0,4.3,5.1,20.1,28.6,Médio
110005,Cerejeiras,RO,84.7,85.8,12.4,5.5,2.0,5.8,0.9,2.9,2.5,3.5,25.4,21.0,22.4,6.0,4.3,4.3,19.3,18.2,Médio
110006,Colorado do Oeste,RO,87.1,75.8,9.8,14.6,2.0,5.7,1.1,3.9,3.0,3.5,19.3,19.3,25.5,4.9,4.3,5.5,18.7,15.5,Baixo
110007,Corumbiara,RO,83.1,79.1,12.5,8.3,3.5,10.0,0.9,2.6,2.2,1.3,23.4,18.0,25.6,4.0,4.1,4.1,25.6,42.8,Muito Baixo
110008,Costa Marques,RO,73.3,73.5,19.4,14.5,5.1,8.8,2.2,3.2,2.9,5.2,20.4,24.4,27.1,4.1,5.1,4.8,33.2,44.5,Muito Baixo
110010,Guajará-Mirim,RO,80.3,72.1,14.8,13.6,3.0,10.0,1.9,4.3,2.3,2.1,19.9,20.3,26.5,4.8,4.2,4.3,33.2,44.1,Baixo
110011,Jaru,RO,78.5,72.3,16.9,13.4,2.8,7.9,1.8,6.4,3.7,3.4,22.7,22.0,25.9,5.3,4.2,4.2,21.1,25.5,Baixo
110012,Ji-Paraná,RO,80.4,73.8,14.7,15.9,3.3,5.9,1.6,4.4,2.8,3.9,20.2,24.7,28.0,4.6,4.2,4.2,23.7,24.2,Médio
110015,Ouro Preto do Oeste,RO,79.0,78.2,15.3,10.8,2.7,7.0,3.0,4.0,4.3,3.0,20.2,24.8,27.8,4.7,4.3,4.3,28.8,28.3,Baixo
110018,Pimenta Bueno,RO,83.1,79.3,13.3,9.6,2.0,6.9,1.6,4.2,2.6,2.8,22.5,24.9,29.0,6.0,4.2,4.2,20.9,21.9,Médio
110020,Porto Velho,RO,76.8,71.4,17.6,14.3,2.8,7.7,2.8,6.6,3.5,4.4,20.6,26.6,31.0,4.4,4.3,4.3,27.9,25.9,Médio
110025,Presidente Médici,RO,80.3,79.3,15.5,9.0,2.9,7.8,1.3,3.9,4.0,3.9,20.3,19.5,25.5,5.0,4.2,4.2,26.0,32.3,Baixo
110026,Rio Crespo,RO,81.5,83.5,12.4,10.4,4.0,2.6,2.1,3.5,4.5,1.7,25.0,23.1,23.2,3.9,4.0,4.0,28.5,12.1,Baixo
110028,Rolim de Moura,RO,79.7,67.4,15.6,13.5,3.0,13.8,1.7,5.3,3.2,5.2,19.1,24.3,27.1,5.2,4.2,4.2,24.8,37.8,Baixo
110030,Vilhena,RO,83.4,69.4,12.7,16.2,1.7,8.1,2.2,6.3,3.4,4.4,25.4,26.0,25.7,4.2,4.3,4.2,17.6,22.7,Médio
110032,São Miguel do Guaporé,RO,82.3,71.4,12.5,8.9,3.3,15.8,1.9,3.9,3.2,9.1,17.8,22.3,35.5,4.8,4.3,4.1,23.8,38.7,Baixo
110033,Nova Mamoré,RO,77.2,72.5,16.7,9.4,3.9,9.5,2.2,8.6,3.2,2.6,19.0,23.0,27.3,4.6,4.1,4.3,35.5,43.8,Muito Baixo
110037,Alto Alegre dos Parecis,RO,80.2,78.3,14.2,5.7,3.7,10.1,1.9,5.9,2.1,2.6,19.8,23.2,24.1,4.3,4.2,4.3,27.0,37.5,Muito Baixo
110040,Alto Paraíso,RO,82.6,65.6,11.2,13.5,4.6,16.7,1.6,4.2,2.6,0.5,22.7,24.4,35.3,4.0,4.1,4.6,25.9,28.3,Muito Baixo
110045,Buritis,RO,80.0,71.5,13.7,10.8,4.5,11.2,1.8,6.5,4.0,3.6,21.4,24.5,30.3,4.3,4.3,4.2,32.6,36.8,Muito Baixo
110050,Novo Horizonte do Oeste,RO,83.2,68.6,12.6,10.4,2.3,12.8,1.9,8.2,2.3,2.2,18.8,22.1,31.7,5.4,4.0,4.7,25.2,37.0,Baixo
110060,Cacaulândia,RO,81.9,88.7,12.6,3.6,3.4,6.7,2.1,1.0,2.2,1.4,16.8,20.7,27.2,4.3,4.3,4.5,27.9,21.2,Baixo
110070,Campo Novo de Rondônia,RO,76.2,77.1,16.0,8.3,5.8,10.3,2.0,4.3,2.7,2.4,23.1,17.7,22.4,5.8,4.2,4.3,40.2,44.7,Muito Baixo
110080,Candeias do Jamari,RO,68.6,72.8,22.3,13.9,4.9,8.0,4.2,5.3,3.9,3.1,21.1,29.2,24.8,4.0,4.3,4.2,41.3,37.1,Baixo
110090,Castanheiras,RO,78.6,74.4,15.8,5.8,3.7,9.0,1.9,10.8,4.2,2.5,12.6,15.2,25.1,4.3,4.1,4.0,23.8,43.4,Baixo
110092,Chupinguaia,RO,85.3,74.9,11.4,10.6,2.0,12.8,1.3,1.7,6.1,2.9,24.9,20.7,20.3,6.8,4.3,4.0,25.7,38.5,Baixo
110094,Cujubim,RO,75.3,69.9,17.9,8.9,3.9,16.2,2.9,5.0,3.4,1.5,20.4,27.9,32.9,4.6,4.2,4.1,38.4,34.3,Muito Baixo
110100,Governador Jorge Teixeira,RO,82.8,72.8,11.8,6.4,3.0,12.9,2.4,7.9,2.2,4.2,22.8,19.8,27.3,4.0,4.0,4.0,29.4,40.7,Muito Baixo
110110,Itapuã do Oeste,RO,73.9,62.7,19.5,23.5,3.6,11.5,3.0,2.3,3.0,3.8,22.3,22.2,30.1,4.9,4.2,4.3,37.2,32.7,Muito Baixo
110120,Ministro Andreazza,RO,78.3,86.7,15.9,3.1,4.0,5.5,1.8,4.7,3.6,4.3,22.7,21.3,29.5,4.3,4.3,4.2,27.6,40.7,Baixo
110130,Mirante da Serra,RO,79.4,67.1,15.9,16.7,2.7,11.8,2.0,4.4,3.1,4.3,28.9,24.3,39.0,5.5,4.2,4.3,26.0,42.4,Muito Baixo
110140,Monte Negro,RO,77.7,68.0,15.8,10.2,5.6,14.5,0.9,7.3,3.1,1.7,15.2,23.2,28.8,5.1,4.2,4.2,28.1,36.8,Muito Baixo
110143,Nova União,RO,73.8,71.6,22.2,11.3,3.0,16.2,1.0,0.9,2.7,1.7,17.0,20.8,33.2,4.1,4.2,4.3,35.9,55.3,Muito Baixo
110145,Parecis,RO,76.8,83.6,17.6,7.6,4.5,4.7,1.1,4.1,3.4,4.2,26.3,14.0,21.9,4.3,4.2,4.3,26.8,30.9,Muito Baixo
110146,Pimenteiras do Oeste,RO,79.5,86.0,15.2,5.0,3.3,7.0,2.0,2.0,2.6,,20.0,22.1,24.5,4.3,4.3,4.3,27.9,26.5,Baixo
110147,Primavera de Rondônia,RO,79.2,83.4,15.5,3.2,3.9,12.1,1.4,1.3,1.9,2.9,14.0,22.0,25.3,6.4,4.3,4.3,26.5,31.8,Baixo
110149,São Francisco do Guaporé,RO,79.3,64.3,15.0,16.8,4.5,13.6,1.2,5.3,5.4,3.2,23.0,24.2,33.1,4.4,4.2,6.0,28.0,37.2,Muito Baixo
110150,Seringueiras,RO,81.1,69.8,13.6,11.7,3.7,13.4,1.6,5.1,1.9,5.0,21.5,22.1,37.0,4.0,4.1,4.1,29.5,43.2,Muito Baixo
110155,Teixeirópolis,RO,81.7,73.2,12.9,13.6,3.1,12.1,2.3,1.1,2.8,2.2,20.6,22.0,35.1,4.9,4.2,4.1,29.5,40.2,Muito Baixo
110160,Theobroma,RO,78.1,77.1,16.4,7.4,4.2,11.6,1.3,3.9,4.0,4.0,14.1,18.2,16.6,4.3,4.2,4.3,29.2,32.9,Muito Baixo
110170,Urupá,RO,78.7,63.2,15.4,16.4,3.3,14.4,2.6,6.0,2.5,4.5,25.4,23.8,35.8,6.2,4.1,4.3,31.0,43.6,Muito Baixo
110175,Vale do Anari,RO,72.7,74.8,20.5,11.8,3.6,11.5,3.2,1.9,4.6,4.3,22.4,20.7,35.3,5.4,4.2,4.1,35.5,44.7,Muito Baixo
110180,Vale do Paraíso,RO,75.8,55.1,18.5,24.3,3.6,18.2,2.1,2.4,1.9,1.5,16.7,21.8,24.9,4.2,4.4,4.2,30.8,37.7,Muito Baixo
120001,Acrelândia,AC,78.5,73.7,15.2,8.7,4.2,14.9,2.1,2.7,6.4,7.7,20.1,24.0,27.8,5.5,4.4,4.1,32.7,31.1,Muito Baixo
120005,Assis Brasil,AC,64.7,72.5,22.7,7.7,11.0,13.6,1.6,6.2,2.6,2.8,17.0,19.5,27.8,4.0,4.1,4.3,47.4,52.7,Muito Baixo
120010,Brasiléia,AC,85.2,66.4,8.9,20.2,5.2,11.8,0.7,1.6,4.4,13.6,20.9,23.6,29.1,4.6,4.3,4.4,24.8,39.4,Muito Baixo
120013,Bujari,AC,75.8,72.6,14.9,11.1,7.9,12.9,1.4,3.4,5.9,14.3,19.5,21.4,27.9,3.8,4.3,4.5,37.0,37.9,Muito Baixo
120017,Capixaba,AC,76.4,70.1,17.3,14.9,4.3,10.8,2.0,4.2,5.2,6.5,24.3,24.5,29.0,4.3,4.2,4.0,39.2,51.0,Muito Baixo
120020,Cruzeiro do Sul,AC,84.0,74.6,11.6,14.8,3.7,8.9,0.7,1.7,4.0,3.3,19.1,24.6,29.9,4.1,4.2,4.1,26.1,37.2,Baixo
120025,Epitaciolândia,AC,82.1,70.0,13.3,19.6,4.1,9.6,0.5,0.8,5.7,8.7,23.7,24.4,34.6,4.5,4.3,4.2,26.4,27.0,Baixo
120030,Feijó,AC,73.8,81.1,17.6,11.5,7.5,6.4,1.1,1.0,5.7,5.7,16.2,22.2,32.3,4.3,4.2,4.0,45.3,34.6,Muito Baixo
120032,Jordão,AC,77.4,65.2,15.2,9.7,6.3,13.2,1.1,11.9,1.1,2.6,16.9,18.7,25.0,4.5,4.2,4.2,57.9,61.8,Muito Baixo
120033,Mâncio Lima,AC,78.5,73.8,13.6,11.4,7.3,13.4,0.6,1.4,5.0,3.4,17.2,18.5,23.7,4.2,4.2,4.2,30.1,43.1,Baixo
120034,Manoel Urbano,AC,64.2,72.1,25.6,13.5,7.0,13.1,3.2,1.3,2.3,3.7,20.6,24.2,36.8,4.3,4.3,4.3,47.2,45.7,Muito Baixo
120035,Marechal Thaumaturgo,AC,63.4,81.9,23.2,7.4,11.5,6.8,1.9,3.9,1.6,0.4,15.9,20.7,20.1,4.0,4.2,4.7,49.7,70.7,Muito Baixo
120038,Plácido de Castro,AC,78.5,71.4,15.0,14.1,4.6,10.8,1.9,3.7,5.5,7.8,16.9,19.5,24.8,4.0,4.1,4.5,29.0,42.4,Baixo
120039,Porto Walter,AC,65.4,59.1,22.9,26.9,10.6,12.3,1.1,1.7,11.0,4.2,15.6,20.8,28.0,4.2,4.4,4.3,45.9,57.7,Muito Baixo
120040,Rio Branco,AC,87.6,73.1,8.8,14.3,2.5,10.2,1.1,2.4,4.4,3.8,22.9,28.0,33.4,4.6,4.3,4.2,17.4,30.6,Médio
120042,Rodrigues Alves,AC,78.9,74.5,14.0,14.0,6.4,9.4,0.7,2.1,3.8,2.8,15.3,18.6,18.5,4.0,4.2,4.3,33.5,46.7,Muito Baixo
120043,Santa Rosa do Purus,AC,50.1,81.0,31.3,13.2,18.2,5.3,0.4,0.5,0.5,4.6,19.2,21.9,37.8,4.0,4.2,3.5,58.7,62.4,Muito Baixo
120045,Senador Guiomard,AC,77.9,70.6,16.6,15.1,3.9,11.8,1.6,2.5,5.8,7.1,23.5,21.5,27.8,4.2,4.2,4.3,25.5,40.5,Baixo
120050,Sena Madureira,AC,69.8,75.0,21.1,11.2,8.1,13.3,1.0,0.5,4.3,1.7,23.3,18.9,31.0,4.0,4.3,4.0,35.5,39.6,Muito Baixo
120060,Tarauacá,AC,63.2,73.0,25.7,15.2,10.2,10.9,0.9,0.9,4.4,1.7,21.0,22.3,30.2,5.1,4.2,4.1,47.9,46.2,Muito Baixo
120070,Xapuri,AC,80.8,77.2,12.1,12.9,5.2,5.7,1.9,4.2,4.8,2.0,17.8,22.9,25.4,5.9,4.3,4.2,39.3,40.5,Muito Baixo
120080,Porto Acre,AC,77.7,76.7,16.2,9.0,4.4,9.9,1.7,4.4,7.1,5.4,19.7,22.7,25.3,4.2,4.3,4.6,36.5,40.4,Muito Baixo
130002,Alvarães,AM,65.2,62.5,24.4,24.6,6.9,10.4,3.5,2.5,1.4,0.7,21.2,23.6,28.2,4.0,4.1,3.9,47.6,61.9,Muito Baixo
130006,Amaturá,AM,77.2,93.4,16.1,1.4,6.2,4.1,0.5,1.1,0.2,0.7,19.4,21.3,25.7,4.0,4.2,3.8,48.3,48.8,Muito Baixo
130008,Anamã,AM,86.5,80.5,7.8,7.6,5.3,10.0,0.4,1.9,,0.2,22.2,21.1,19.6,4.0,4.3,3.8,30.1,59.1,Baixo
130010,Anori,AM,76.3,73.9,17.1,13.1,5.3,11.2,1.3,1.8,0.9,0.2,12.8,19.0,27.0,4.0,4.1,4.0,40.1,56.9,Muito Baixo
130014,Apuí,AM,80.6,79.8,12.8,8.2,5.3,10.7,1.3,1.3,3.4,0.3,17.3,21.2,21.9,4.1,4.2,3.6,30.2,47.9,Baixo
130020,Atalaia do Norte,AM,55.1,77.4,35.4,9.9,8.9,12.2,0.6,0.5,0.2,0.2,22.4,24.2,25.1,4.0,4.1,3.8,56.6,44.8,Muito Baixo
130030,Autazes,AM,75.1,83.7,14.9,7.2,8.2,7.3,1.8,1.8,3.2,0.6,20.6,24.4,23.5,4.0,4.0,3.9,41.0,56.9,Muito Baixo
130040,Barcelos,AM,73.5,83.7,12.5,8.1,11.9,7.6,2.1,0.6,0.6,0.9,24.5,22.2,24.6,4.2,4.2,4.1,36.7,40.3,Muito Baixo
130050,Barreirinha,AM,83.8,83.8,10.4,6.0,5.0,10.1,0.8,0.1,1.2,0.6,22.6,21.4,29.3,4.3,4.3,3.7,38.0,55.2,Baixo
130060,Benjamin Constant,AM,80.1,85.0,11.0,6.8,7.4,7.7,1.5,0.5,0.5,0.2,21.2,25.3,35.9,4.0,4.2,4.0,36.1,58.1,Muito Baixo
130063,Beruri,AM,67.7,88.5,19.6,4.4,10.6,6.8,2.1,0.3,1.2,0.6,17.5,21.2,24.8,4.0,4.0,3.5,49.7,54.6,Muito Baixo
130068,Boa Vista do Ramos,AM,79.3,83.0,12.8,4.7,7.1,11.9,0.8,0.4,1.2,0.1,21.7,21.1,20.5,3.6,4.1,3.8,34.5,64.7,Muito Baixo
130070,Boca do Acre,AM,81.4,85.9,9.6,4.4,8.2,9.1,0.8,0.6,3.3,2.7,23.1,18.5,22.5,4.2,4.2,4.0,33.5,52.2,Muito Baixo
130080,Borba,AM,74.4,84.9,16.6,5.9,8.1,8.6,0.9,0.6,1.4,0.1,21.1,20.2,27.3,5.1,4.2,4.0,41.8,43.3,Muito Baixo
130083,Caapiranga,AM,66.5,87.9,18.8,4.7,12.9,6.9,1.8,0.5,2.0,0.4,19.3,14.9,20.2,4.0,4.0,3.6,46.6,60.9,Muito Baixo
130090,Canutama,AM,68.7,81.6,21.4,7.4,6.2,10.5,3.7,0.5,0.6,0.5,23.0,22.1,38.0,3.2,4.2,3.5,42.7,54.5,Muito Baixo
130100,Carauari,AM,74.6,79.2,16.7,5.5,5.4,10.9,3.3,4.4,1.2,1.4,23.7,26.2,27.3,4.1,4.3,3.9,40.6,51.8,Muito Baixo
130110,Careiro,AM,78.7,72.4,12.5,7.4,8.0,19.4,0.8,0.8,2.9,1.0,16.1,19.5,18.7,6.0,4.1,3.9,38.2,58.1,Muito Baixo
130115,Careiro da Várzea,AM,77.6,81.6,17.0,3.9,4.9,14.5,0.5,0.0,0.8,0.4,18.7,18.5,18.4,4.0,4.1,3.9,38.0,49.9,Muito Baixo
130120,Coari,AM,75.4,74.4,15.9,10.4,7.7,14.5,1.0,0.7,0.8,0.4,23.0,19.4,29.2,4.1,4.1,3.9,42.7,58.6,Muito Baixo
130130,Codajás,AM,79.5,82.9,14.4,10.2,4.3,4.6,1.8,2.3,0.2,,18.8,24.0,25.0,4.0,4.1,3.9,39.5,43.3,Muito Baixo
130140,Eirunepé,AM,74.6,89.0,13.8,4.2,9.6,2.9,2.0,3.9,1.3,0.5,25.0,24.8,31.3,4.0,4.0,3.8,42.0,49.2,Muito Baixo
130150,Envira,AM,62.4,77.8,22.0,8.4,8.5,4.9,7.1,8.9,0.8,1.0,19.9,24.4,36.9,4.1,4.2,3.6,47.2,53.9,Muito Baixo
130160,Fonte Boa,AM,74.6,82.7,18.1,10.4,5.5,6.4,1.8,0.5,0.8,0.6,27.3,20.3,27.1,3.9,4.2,3.9,35.0,51.1,Muito Baixo
130165,Guajará,AM,73.2,78.1,20.5,11.8,5.9,7.8,0.4,2.3,2.2,2.0,21.3,20.6,28.8,4.0,4.0,4.4,36.1,43.6,Muito Baixo
130170,Humaitá,AM,80.3,79.5,12.9,7.2,5.7,12.3,1.1,1.0,1.2,0.8,11.7,22.8,25.3,4.0,4.1,4.0,43.6,43.1,Muito Baixo
130180,Ipixuna,AM,63.3,86.4,28.4,3.8,7.1,9.2,1.2,0.6,0.8,0.5,28.0,25.0,26.9,4.0,4.0,3.4,47.7,56.1,Muito Baixo
130185,Iranduba,AM,76.2,76.8,16.4,8.0,5.3,14.0,2.1,1.2,3.1,0.1,18.8,23.3,26.5,4.0,4.1,3.9,40.9,66.5,Muito Baixo
130190,Itacoatiara,AM,76.2,78.8,17.3,10.1,5.0,9.6,1.5,1.5,3.9,1.1,23.8,23.0,30.0,4.3,4.1,3.9,37.3,46.6,Baixo
130195,Itamarati,AM,61.7,93.4,25.6,4.5,9.6,1.4,3.1,0.7,0.8,0.3,36.8,22.2,31.6,4.0,4.2,3.9,55.5,51.8,Muito Baixo
130200,Itapiranga,AM,84.4,82.4,10.8,7.9,3.4,9.4,1.4,0.3,1.2,0.6,18.5,19.2,25.4,4.7,4.1,4.0,32.6,56.3,Baixo
130210,Japurá,AM,72.8,84.8,16.9,5.4,7.2,9.8,3.1,0.0,1.5,1.4,26.5,17.5,30.8,4.0,4.1,3.4,54.1,72.2,Muito Baixo
130220,Juruá,AM,64.7,88.1,29.6,5.0,3.6,6.5,2.1,0.4,0.3,0.5,22.1,20.9,25.5,4.0,4.1,3.3,59.2,67.5,Muito Baixo
